team_1,team_2,venue,pitch_type,weather,toss_winner,toss_decision_bat,team1_avg_runs_last5,team2_avg_runs_last5,team1_avg_wickets_taken_last5,team2_avg_wickets_taken_last5,team1_win_percentage_last10,team2_win_percentage_last10,team1_key_player_form,team2_key_player_form,Format,team1_win
Australia,Afghanistan,Chennai,Balanced,Rainy,1,1,151.0,165.0,4,4,31,75,97.0,20.0,ODI,0
New Zealand,South Africa,Johannesburg,Bowling,Cloudy,1,1,175.0,168.0,8,5,55,36,89.0,36.0,T20,1
New Zealand,West Indies,Chennai,Balanced,Rainy,1,1,144.0,169.0,5,7,64,79,20.0,20.0,ODI,0
Sri Lanka,India,Dubai,Batting,Humid,2,0,177.0,164.0,7,6,67,35,93.0,92.0,T20,1
India,Bangladesh,Sydney,Bowling,Rainy,2,1,190.0,174.0,6,7,71,63,38.0,49.0,T20,1
West Indies,India,Sydney,Balanced,Cloudy,2,1,153.0,166.0,5,5,88,45,20.0,70.0,ODI,1
South Africa,Afghanistan,Bengaluru,Batting,Clear,2,0,175.0,152.0,9,7,67,69,53.0,28.0,ODI,1
Sri Lanka,South Africa,Dubai,Bowling,Clear,2,0,142.0,192.0,9,8,42,42,43.0,50.0,ODI,0
India,Sri Lanka,Bengaluru,Bowling,Clear,2,1,188.0,150.0,7,4,83,89,97.0,58.0,ODI,1
New Zealand,England,Kolkata,Bowling,Humid,2,0,177.0,158.0,8,8,86,51,80.0,82.0,ODI,1
New Zealand,India,Melbourne,Bowling,Clear,1,0,190.0,173.0,4,9,59,42,84.0,26.0,T20,1
Australia,Pakistan,Johannesburg,Bowling,Rainy,1,1,142.0,158.0,8,7,49,30,46.0,44.0,ODI,1
Australia,Pakistan,Kolkata,Bowling,Clear,1,1,178.0,172.0,5,8,64,86,84.0,88.0,T20,0
New Zealand,Bangladesh,Chennai,Balanced,Humid,2,0,165.0,158.0,7,8,85,66,69.0,22.0,ODI,1
New Zealand,England,Sydney,Balanced,Clear,2,0,170.0,192.0,5,9,86,75,96.0,95.0,T20,0
India,West Indies,London,Batting,Rainy,2,1,147.0,161.0,8,5,33,87,95.0,55.0,ODI,0
West Indies,New Zealand,Chennai,Bowling,Clear,2,0,177.0,141.0,8,8,63,38,70.0,88.0,ODI,1
England,New Zealand,Melbourne,Batting,Cloudy,2,0,170.0,154.0,7,6,59,48,45.0,54.0,ODI,1
Sri Lanka,West Indies,Chennai,Batting,Cloudy,1,1,188.0,173.0,4,7,80,74,34.0,40.0,T20,1
South Africa,Afghanistan,Bengaluru,Batting,Humid,1,1,170.0,161.0,5,8,37,83,60.0,91.0,ODI,0
Sri Lanka,New Zealand,Kolkata,Balanced,Rainy,1,0,153.0,169.0,5,9,58,65,40.0,38.0,T20,0
Sri Lanka,India,Melbourne,Batting,Rainy,1,1,144.0,161.0,9,8,63,70,70.0,58.0,ODI,0
Afghanistan,England,Johannesburg,Balanced,Cloudy,2,0,196.0,151.0,8,4,53,68,71.0,69.0,T20,1
Pakistan,England,Kolkata,Batting,Cloudy,2,1,189.0,158.0,8,4,86,82,77.0,61.0,T20,1
South Africa,Australia,Chennai,Bowling,Clear,2,1,142.0,169.0,4,7,86,75,46.0,94.0,ODI,0
England,Bangladesh,London,Batting,Rainy,2,0,152.0,144.0,4,9,89,33,86.0,30.0,ODI,1
Sri Lanka,Bangladesh,Dubai,Bowling,Rainy,1,1,186.0,167.0,4,5,69,35,28.0,84.0,T20,1
Sri Lanka,New Zealand,Sydney,Balanced,Rainy,2,1,150.0,177.0,7,7,61,73,93.0,51.0,ODI,0
Bangladesh,New Zealand,Bengaluru,Bowling,Rainy,2,0,170.0,195.0,4,6,65,52,75.0,53.0,T20,1
England,India,Melbourne,Batting,Cloudy,2,1,180.0,168.0,6,8,57,82,74.0,63.0,T20,0
Afghanistan,Pakistan,Sydney,Bowling,Cloudy,2,1,192.0,186.0,7,7,67,70,56.0,28.0,T20,1
Sri Lanka,South Africa,Sydney,Batting,Rainy,2,0,197.0,154.0,6,4,72,47,96.0,53.0,T20,1
West Indies,Sri Lanka,Dubai,Balanced,Clear,2,0,143.0,143.0,7,5,84,33,85.0,20.0,ODI,1
Pakistan,Afghanistan,Mumbai,Balanced,Rainy,2,1,198.0,178.0,6,8,51,62,94.0,87.0,T20,1
India,Pakistan,Dubai,Balanced,Cloudy,1,1,183.0,168.0,5,9,89,67,75.0,24.0,T20,1
Afghanistan,Sri Lanka,Mumbai,Batting,Clear,2,1,198.0,178.0,4,7,63,50,25.0,21.0,T20,1
Pakistan,India,Melbourne,Bowling,Humid,1,0,156.0,188.0,9,5,44,66,39.0,35.0,T20,0
West Indies,South Africa,Johannesburg,Balanced,Rainy,2,1,171.0,141.0,8,7,85,44,77.0,32.0,ODI,1
Sri Lanka,West Indies,London,Balanced,Humid,2,1,179.0,163.0,4,5,82,52,26.0,74.0,T20,1
India,Bangladesh,Mumbai,Bowling,Humid,2,0,159.0,163.0,7,5,60,66,20.0,27.0,ODI,1
Australia,Pakistan,Melbourne,Bowling,Cloudy,2,0,161.0,164.0,7,4,63,31,34.0,91.0,ODI,1
Bangladesh,New Zealand,Johannesburg,Bowling,Cloudy,1,0,192.0,169.0,9,6,62,54,92.0,84.0,ODI,1
Pakistan,Sri Lanka,London,Balanced,Clear,2,1,165.0,151.0,8,5,64,76,36.0,73.0,ODI,0
New Zealand,West Indies,Kolkata,Bowling,Humid,1,0,140.0,188.0,4,9,46,31,59.0,28.0,ODI,0
India,Pakistan,Delhi,Balanced,Rainy,1,1,159.0,192.0,9,6,66,59,68.0,28.0,T20,0
New Zealand,South Africa,Bengaluru,Batting,Cloudy,2,0,171.0,156.0,6,7,89,88,46.0,63.0,ODI,1
New Zealand,Afghanistan,Melbourne,Batting,Humid,2,1,153.0,186.0,8,8,48,64,41.0,40.0,ODI,0
Bangladesh,South Africa,Sydney,Batting,Cloudy,1,1,155.0,182.0,9,5,54,81,71.0,71.0,ODI,0
Pakistan,Bangladesh,London,Balanced,Cloudy,2,1,178.0,198.0,8,5,35,88,20.0,46.0,T20,0
South Africa,England,Chennai,Balanced,Clear,1,1,191.0,192.0,7,4,60,37,94.0,55.0,T20,1
India,West Indies,Melbourne,Balanced,Rainy,1,1,148.0,176.0,5,6,48,57,31.0,23.0,ODI,0
New Zealand,Sri Lanka,Melbourne,Bowling,Rainy,1,1,199.0,153.0,5,9,79,69,45.0,22.0,T20,1
West Indies,Sri Lanka,Dubai,Balanced,Cloudy,2,0,145.0,194.0,5,9,53,62,79.0,90.0,ODI,0
Australia,New Zealand,Dubai,Balanced,Humid,2,0,193.0,167.0,7,4,58,53,88.0,44.0,T20,1
West Indies,England,Johannesburg,Batting,Cloudy,2,1,192.0,179.0,5,4,67,86,89.0,22.0,T20,0
Bangladesh,India,London,Balanced,Rainy,2,0,151.0,155.0,9,9,56,64,82.0,58.0,ODI,0
India,Pakistan,Melbourne,Balanced,Humid,2,1,157.0,141.0,6,9,44,70,92.0,58.0,ODI,1
Sri Lanka,England,Melbourne,Bowling,Cloudy,1,0,189.0,173.0,4,5,65,51,38.0,78.0,T20,1
Sri Lanka,New Zealand,Sydney,Batting,Rainy,2,1,173.0,152.0,8,6,54,33,52.0,59.0,ODI,1
Sri Lanka,Australia,Johannesburg,Batting,Cloudy,1,1,166.0,143.0,5,4,39,81,44.0,46.0,ODI,0
West Indies,South Africa,Johannesburg,Balanced,Clear,1,0,174.0,160.0,8,7,49,42,22.0,75.0,ODI,1
Sri Lanka,South Africa,Delhi,Bowling,Cloudy,1,0,192.0,157.0,9,7,54,72,65.0,53.0,T20,1
Afghanistan,India,Sydney,Balanced,Humid,2,0,170.0,172.0,6,9,45,70,94.0,75.0,T20,0
India,Pakistan,Johannesburg,Balanced,Clear,1,0,179.0,155.0,5,7,65,36,20.0,61.0,ODI,1
Australia,Pakistan,Sydney,Bowling,Clear,1,1,149.0,172.0,6,4,54,38,32.0,41.0,ODI,0
New Zealand,South Africa,Mumbai,Batting,Cloudy,2,1,192.0,182.0,9,4,69,87,28.0,85.0,T20,0
Pakistan,South Africa,Melbourne,Batting,Humid,1,1,171.0,142.0,7,9,70,83,68.0,78.0,ODI,1
Afghanistan,South Africa,Mumbai,Balanced,Humid,1,1,148.0,177.0,7,7,83,70,56.0,50.0,ODI,0
West Indies,South Africa,Melbourne,Balanced,Rainy,2,0,140.0,182.0,6,4,36,63,33.0,69.0,ODI,0
England,Pakistan,Kolkata,Batting,Clear,1,1,195.0,169.0,4,5,50,30,62.0,32.0,T20,1
West Indies,Bangladesh,Delhi,Balanced,Humid,1,1,193.0,179.0,6,9,89,72,41.0,39.0,T20,1
South Africa,New Zealand,Melbourne,Balanced,Clear,2,1,174.0,162.0,8,4,57,38,98.0,51.0,ODI,1
Afghanistan,Australia,Dubai,Balanced,Clear,1,0,143.0,183.0,5,4,62,38,25.0,59.0,ODI,0
Australia,Afghanistan,Melbourne,Batting,Rainy,2,0,147.0,155.0,7,4,37,89,28.0,95.0,ODI,0
India,England,Mumbai,Batting,Humid,2,0,173.0,198.0,4,7,60,46,59.0,95.0,T20,0
Pakistan,Bangladesh,Sydney,Bowling,Rainy,1,1,156.0,168.0,5,4,35,33,64.0,44.0,ODI,1
Pakistan,England,Bengaluru,Batting,Cloudy,2,0,190.0,148.0,4,4,86,45,58.0,80.0,ODI,1
India,England,Chennai,Bowling,Clear,1,1,185.0,169.0,7,4,50,36,22.0,36.0,T20,1
New Zealand,England,Chennai,Bowling,Clear,2,1,179.0,159.0,5,4,44,53,43.0,73.0,ODI,1
India,Afghanistan,Melbourne,Balanced,Cloudy,2,1,177.0,144.0,4,5,39,87,62.0,43.0,ODI,1
South Africa,England,Dubai,Batting,Rainy,1,0,171.0,168.0,7,6,36,40,44.0,20.0,ODI,1
West Indies,South Africa,Johannesburg,Bowling,Rainy,2,1,144.0,170.0,9,5,36,58,62.0,20.0,ODI,0
England,New Zealand,Delhi,Batting,Cloudy,2,1,152.0,187.0,5,6,88,32,62.0,20.0,ODI,1
South Africa,New Zealand,Dubai,Balanced,Clear,1,1,166.0,169.0,4,7,59,40,83.0,34.0,T20,1
Australia,West Indies,Mumbai,Balanced,Humid,1,0,184.0,186.0,5,8,65,77,81.0,58.0,T20,0
Pakistan,New Zealand,Delhi,Batting,Clear,1,1,150.0,167.0,7,7,69,83,35.0,93.0,ODI,0
Afghanistan,Bangladesh,Mumbai,Balanced,Cloudy,1,0,161.0,164.0,8,8,77,51,94.0,72.0,ODI,1
New Zealand,Afghanistan,Chennai,Batting,Clear,1,1,149.0,151.0,7,7,51,70,98.0,79.0,ODI,0
West Indies,India,Sydney,Balanced,Humid,2,0,185.0,140.0,8,9,67,65,79.0,68.0,ODI,1
Australia,Sri Lanka,Sydney,Bowling,Cloudy,1,0,159.0,163.0,8,9,67,87,70.0,91.0,ODI,0
Pakistan,England,Delhi,Batting,Rainy,2,0,175.0,157.0,8,5,36,50,46.0,47.0,ODI,1
India,Pakistan,Melbourne,Balanced,Humid,2,1,149.0,141.0,6,9,72,34,46.0,21.0,ODI,1
England,Sri Lanka,Sydney,Batting,Rainy,2,0,170.0,194.0,5,8,37,62,95.0,98.0,T20,0
Sri Lanka,New Zealand,Kolkata,Batting,Rainy,1,1,176.0,154.0,8,7,77,77,52.0,64.0,ODI,1
New Zealand,England,London,Balanced,Clear,2,1,151.0,158.0,5,4,56,73,35.0,50.0,ODI,0
Pakistan,Bangladesh,Johannesburg,Bowling,Clear,2,0,167.0,167.0,9,9,71,80,55.0,31.0,ODI,0
India,New Zealand,Bengaluru,Batting,Clear,1,1,182.0,158.0,8,8,78,46,24.0,68.0,ODI,1
Pakistan,Bangladesh,Melbourne,Bowling,Clear,2,1,161.0,191.0,5,8,55,31,39.0,93.0,T20,0
Bangladesh,New Zealand,Sydney,Balanced,Cloudy,2,1,170.0,145.0,8,8,55,73,46.0,58.0,ODI,1
New Zealand,India,Sydney,Balanced,Rainy,1,1,170.0,183.0,9,6,60,64,82.0,83.0,T20,0
Bangladesh,West Indies,London,Bowling,Rainy,1,1,142.0,166.0,4,9,43,73,30.0,58.0,ODI,0
West Indies,Pakistan,Chennai,Batting,Clear,2,0,189.0,193.0,8,8,40,57,89.0,44.0,T20,0
South Africa,Sri Lanka,Kolkata,Balanced,Rainy,1,1,170.0,171.0,5,8,75,34,95.0,34.0,ODI,1
Australia,New Zealand,Delhi,Batting,Rainy,1,1,157.0,150.0,9,5,40,51,20.0,34.0,ODI,1
Pakistan,South Africa,Melbourne,Balanced,Clear,1,1,149.0,149.0,4,4,37,72,57.0,65.0,ODI,0
Australia,Bangladesh,Melbourne,Bowling,Clear,2,1,160.0,146.0,6,7,33,88,32.0,62.0,ODI,0
Afghanistan,West Indies,Melbourne,Batting,Clear,1,1,182.0,197.0,6,5,79,78,53.0,47.0,T20,0
India,Bangladesh,Bengaluru,Balanced,Cloudy,1,1,180.0,161.0,5,8,86,59,46.0,79.0,T20,1
Pakistan,England,Mumbai,Balanced,Humid,1,1,154.0,166.0,9,9,44,88,81.0,83.0,ODI,0
Pakistan,Bangladesh,Melbourne,Balanced,Humid,2,1,186.0,199.0,5,8,64,79,23.0,43.0,T20,0
Pakistan,England,Bengaluru,Batting,Cloudy,1,1,146.0,143.0,4,7,64,71,47.0,52.0,ODI,1
Bangladesh,Sri Lanka,Johannesburg,Bowling,Rainy,2,1,189.0,177.0,9,5,49,85,56.0,56.0,T20,0
Australia,West Indies,Melbourne,Batting,Clear,1,1,161.0,150.0,9,8,84,68,33.0,94.0,ODI,1
West Indies,Sri Lanka,Bengaluru,Batting,Cloudy,1,1,180.0,170.0,7,8,77,51,28.0,46.0,T20,1
England,India,Chennai,Balanced,Clear,1,1,157.0,152.0,6,9,31,52,20.0,58.0,ODI,1
Pakistan,West Indies,Chennai,Bowling,Humid,1,0,161.0,192.0,8,8,58,87,31.0,95.0,T20,0
England,Pakistan,Chennai,Balanced,Rainy,2,0,181.0,167.0,6,6,58,36,78.0,89.0,T20,1
Sri Lanka,New Zealand,Melbourne,Batting,Cloudy,2,0,150.0,169.0,7,8,74,43,30.0,65.0,ODI,1
Australia,West Indies,Johannesburg,Balanced,Clear,1,0,194.0,163.0,7,7,33,84,61.0,81.0,T20,0
South Africa,Sri Lanka,Dubai,Balanced,Humid,2,1,159.0,169.0,7,6,83,83,83.0,22.0,ODI,0
Bangladesh,Sri Lanka,London,Batting,Rainy,1,0,170.0,169.0,9,6,65,83,26.0,22.0,ODI,1
New Zealand,England,Chennai,Batting,Humid,2,1,158.0,186.0,8,6,37,32,29.0,55.0,T20,0
West Indies,New Zealand,Dubai,Bowling,Rainy,2,0,145.0,182.0,9,6,77,78,26.0,31.0,ODI,0
Bangladesh,Afghanistan,Sydney,Balanced,Clear,1,0,199.0,170.0,7,8,75,59,46.0,72.0,T20,1
New Zealand,West Indies,Sydney,Batting,Rainy,2,1,145.0,190.0,9,4,86,83,55.0,36.0,ODI,0
West Indies,Afghanistan,Kolkata,Balanced,Rainy,2,0,195.0,169.0,7,6,75,89,20.0,99.0,T20,0
Australia,West Indies,Johannesburg,Balanced,Clear,1,1,163.0,146.0,4,6,39,46,26.0,22.0,ODI,1
Bangladesh,West Indies,Dubai,Batting,Humid,1,0,170.0,160.0,7,9,49,54,27.0,55.0,T20,1
Australia,Bangladesh,Chennai,Balanced,Clear,2,0,179.0,146.0,4,5,72,67,52.0,66.0,ODI,1
Sri Lanka,Afghanistan,Bengaluru,Balanced,Cloudy,1,1,158.0,163.0,5,7,73,31,65.0,23.0,ODI,1
South Africa,Sri Lanka,Sydney,Batting,Humid,1,0,181.0,192.0,5,8,81,58,98.0,68.0,T20,1
England,India,Kolkata,Batting,Cloudy,1,0,158.0,174.0,8,9,69,57,96.0,22.0,ODI,0
South Africa,Pakistan,Dubai,Balanced,Cloudy,2,1,182.0,168.0,8,8,50,66,23.0,77.0,T20,0
England,India,Melbourne,Batting,Cloudy,2,1,140.0,197.0,8,7,71,52,44.0,44.0,ODI,0
West Indies,Bangladesh,London,Batting,Cloudy,2,1,182.0,188.0,5,4,44,31,20.0,91.0,T20,0
India,South Africa,Sydney,Balanced,Rainy,2,1,169.0,154.0,4,7,32,63,50.0,89.0,ODI,0
Bangladesh,Pakistan,Bengaluru,Balanced,Clear,2,0,142.0,180.0,6,8,38,43,73.0,27.0,ODI,0
India,England,Chennai,Balanced,Rainy,2,0,144.0,171.0,8,8,47,89,77.0,64.0,ODI,0
India,Australia,Delhi,Bowling,Cloudy,2,0,178.0,174.0,5,5,43,82,81.0,64.0,T20,0
India,Pakistan,Bengaluru,Batting,Clear,2,1,174.0,157.0,9,7,89,69,25.0,71.0,ODI,1
Afghanistan,West Indies,Mumbai,Bowling,Humid,1,0,195.0,150.0,6,9,54,36,24.0,85.0,T20,1
Bangladesh,India,Sydney,Batting,Rainy,2,1,145.0,193.0,8,6,48,60,26.0,66.0,ODI,0
India,West Indies,Kolkata,Batting,Humid,2,1,142.0,176.0,6,8,70,80,63.0,92.0,ODI,0
West Indies,Pakistan,Chennai,Balanced,Clear,2,1,182.0,163.0,9,4,40,65,63.0,57.0,T20,1
Afghanistan,New Zealand,Sydney,Balanced,Clear,1,1,192.0,169.0,8,4,45,30,60.0,22.0,ODI,1
New Zealand,India,Dubai,Batting,Humid,1,1,160.0,162.0,5,9,62,43,21.0,60.0,ODI,1
Pakistan,Afghanistan,London,Batting,Rainy,2,1,163.0,172.0,6,8,47,50,75.0,56.0,ODI,0
Bangladesh,Australia,Dubai,Batting,Cloudy,2,1,146.0,181.0,8,5,67,69,86.0,29.0,ODI,0
Afghanistan,West Indies,London,Bowling,Cloudy,1,0,174.0,159.0,8,8,35,64,92.0,86.0,ODI,0
Afghanistan,Australia,Mumbai,Balanced,Humid,2,0,170.0,148.0,9,9,83,85,61.0,22.0,ODI,1
Pakistan,Bangladesh,Johannesburg,Batting,Clear,2,1,170.0,179.0,4,8,64,66,77.0,70.0,T20,0
India,Sri Lanka,Melbourne,Balanced,Clear,2,1,176.0,173.0,8,6,30,77,30.0,29.0,T20,0
England,Australia,Melbourne,Bowling,Rainy,1,0,159.0,163.0,7,4,80,34,30.0,29.0,ODI,1
Australia,England,Mumbai,Balanced,Rainy,2,1,155.0,169.0,6,6,64,37,52.0,50.0,ODI,1
England,South Africa,Dubai,Balanced,Humid,1,1,165.0,164.0,6,5,71,69,96.0,79.0,ODI,1
Sri Lanka,South Africa,Melbourne,Bowling,Cloudy,1,0,159.0,147.0,7,9,75,48,88.0,66.0,ODI,1
Bangladesh,Sri Lanka,Bengaluru,Balanced,Rainy,1,1,196.0,183.0,4,6,52,61,75.0,22.0,T20,1
India,Afghanistan,Chennai,Batting,Clear,2,1,156.0,165.0,6,8,73,65,66.0,70.0,ODI,0
South Africa,India,Bengaluru,Bowling,Clear,2,0,160.0,178.0,6,9,32,38,72.0,87.0,ODI,0
Sri Lanka,West Indies,Johannesburg,Balanced,Cloudy,2,1,168.0,152.0,8,7,71,84,20.0,77.0,ODI,0
Australia,Pakistan,London,Balanced,Humid,2,1,154.0,179.0,5,9,37,36,36.0,44.0,ODI,0
